product_id,quantity,warehouse,last_updated
P672,178,West,2025-04-17 12:47:34
P325,61,North,2025-04-15 18:15:47
P880,170,East,2025-04-21 03:21:47
P604,83,North,2025-04-22 07:32:09
P352,109,East,2025-04-17 06:47:59
P315,18,Main,2025-05-11 10:11:07
P875,173,North,2025-05-04 18:17:40
P782,122,Main,2025-05-03 17:15:28
P205,79,Main,2025-04-26 02:13:14
P193,7,East,2025-04-13 23:28:18
P662,193,West,2025-05-02 19:38:18
P607,50,West,2025-05-12 14:23:56
P843,156,East,2025-05-03 02:51:17
P537,165,West,2025-04-14 00:41:02
P535,131,Main,2025-04-29 07:53:42
P233,76,North,2025-04-13 01:08:28
P437,39,North,2025-05-08 04:33:46
P269,132,West,2025-04-29 06:55:00
P275,174,Main,2025-04-27 07:36:39
P827,23,East,2025-04-19 08:36:39
P246,194,East,2025-05-05 09:02:13
P546,72,North,2025-05-04 01:08:51
P245,39,East,2025-05-04 09:32:35
P745,17,Main,2025-05-08 03:19:08
P353,74,North,2025-05-09 07:55:50
P673,170,North,2025-04-13 00:34:47
P519,57,Main,2025-05-10 17:49:54
P739,116,Main,2025-05-05 19:46:14
P731,131,North,2025-04-18 02:15:20
P860,23,Main,2025-05-09 16:18:33
P854,59,Main,2025-04-28 03:15:34
P921,124,North,2025-04-18 16:27:29
P124,135,East,2025-05-05 06:28:37
P751,178,North,2025-05-02 03:18:23
P597,153,West,2025-04-25 22:32:59
P333,51,Main,2025-05-09 12:32:09
P375,15,North,2025-04-25 17:51:23
P629,100,West,2025-04-25 12:13:25
P200,25,East,2025-04-30 09:38:46
P725,106,West,2025-05-01 12:52:20
P719,85,West,2025-04-16 18:07:36
P452,152,North,2025-04-24 10:42:26
P277,174,Main,2025-05-05 18:21:11
P258,56,East,2025-04-23 04:48:16
P282,183,East,2025-04-18 14:06:25
P417,66,West,2025-04-15 21:18:54
P794,84,North,2025-05-09 19:40:18
P523,15,North,2025-05-03 00:02:31
P337,155,West,2025-05-09 16:28:48
P119,127,East,2025-05-10 10:18:03
