order_id,product_id,quantity,price_per_unit,item_total
552FBE22,P735,3,74.18,222.54000000000002
552FBE22,P774,3,81.02,243.06
53EB5B1D,P801,3,84.22,252.66
7C31B105,P302,1,96.08,96.08
7C31B105,P804,2,32.67,65.34
7C31B105,P977,2,61.63,123.26
7C31B105,P376,1,45.06,45.06
7C31B105,P807,3,87.2,261.6
A458B86A,P489,1,95.66,95.66
A458B86A,P439,3,15.45,46.349999999999994
C2B2B66C,P380,2,4.31,8.62
C2B2B66C,P646,2,29.88,59.76
C2B2B66C,P735,1,74.18,74.18
644C39C5,P707,2,46.51,93.02
644C39C5,P756,1,33.56,33.56
644C39C5,P745,1,24.76,24.76
E52D0F61,P735,3,74.18,222.54000000000002
49277469,P895,3,25.56,76.67999999999999
DF0D5754,P400,3,92.91,278.73
DF0D5754,P206,2,44.01,88.02
DF0D5754,P644,2,81.82,163.64
DF0D5754,P606,2,13.36,26.72
DF0D5754,P462,2,48.42,96.84
73490030,P439,3,15.45,46.349999999999994
F37B40BC,P155,3,43.27,129.81
3915FFC1,P206,1,44.01,44.01
3915FFC1,P707,2,46.51,93.02
3915FFC1,P666,2,23.54,47.08
3915FFC1,P816,3,60.63,181.89000000000001
3915FFC1,P606,3,13.36,40.08
7C57CB90,P735,1,74.18,74.18
7C57CB90,P774,1,81.02,81.02
7C57CB90,P400,1,92.91,92.91
7C57CB90,P891,1,73.07,73.07
26701F5B,P604,3,54.38,163.14000000000001
26701F5B,P522,3,77.75,233.25
26701F5B,P400,1,92.91,92.91
9D4A3386,P118,3,45.51,136.53
9D4A3386,P774,3,81.02,243.06
147B069B,P369,2,15.35,30.7
147B069B,P200,3,85.36,256.08
147B069B,P895,1,25.56,25.56
147B069B,P489,3,95.66,286.98
147B069B,P875,1,69.62,69.62
FED8ECB1,P890,2,23.71,47.42
5718D343,P376,3,45.06,135.18
5718D343,P707,1,46.51,46.51
5718D343,P542,1,51.63,51.63
5718D343,P400,1,92.91,92.91
5718D343,P720,2,79.36,158.72
CB54EFDF,P863,3,74.75,224.25
CB54EFDF,P400,1,92.91,92.91
CB54EFDF,P895,1,25.56,25.56
CB54EFDF,P783,2,88.71,177.42
CB54EFDF,P206,2,44.01,88.02
AF61A686,P250,2,48.1,96.2
AF61A686,P646,3,29.88,89.64
634F5F2D,P155,1,43.27,43.27
634F5F2D,P489,1,95.66,95.66
634F5F2D,P542,3,51.63,154.89000000000001
F93161B9,P895,1,25.56,25.56
F93161B9,P452,2,68.63,137.26
F93161B9,P712,3,68.0,204.0
5C7314F9,P369,1,15.35,15.35
5C7314F9,P816,3,60.63,181.89000000000001
5C7314F9,P756,3,33.56,100.68
D22D8AC2,P439,2,15.45,30.9
D22D8AC2,P452,3,68.63,205.89
D22D8AC2,P400,1,92.91,92.91
D22D8AC2,P804,1,32.67,32.67
D22D8AC2,P875,2,69.62,139.24
A0BB68B4,P380,2,4.31,8.62
A0BB68B4,P362,2,18.08,36.16
A0BB68B4,P604,2,54.38,108.76
A7F65E5C,P720,2,79.36,158.72
A7F65E5C,P522,3,77.75,233.25
A7F65E5C,P348,2,20.09,40.18
A7F65E5C,P875,1,69.62,69.62
A7F65E5C,P596,2,64.1,128.2
E9828A89,P720,2,79.36,158.72
E9828A89,P380,1,4.31,4.31
E9828A89,P348,1,20.09,20.09
E9828A89,P666,2,23.54,47.08
E9828A89,P895,3,25.56,76.67999999999999
6E86BD77,P996,3,48.1,144.3
6E86BD77,P890,2,23.71,47.42
6E86BD77,P604,2,54.38,108.76
6E86BD77,P656,3,75.85,227.54999999999998
E3A91AE6,P452,1,68.63,68.63
E3A91AE6,P631,1,61.79,61.79
E3A91AE6,P604,2,54.38,108.76
E3A91AE6,P200,3,85.36,256.08
E3A91AE6,P977,2,61.63,123.26
22447EBE,P596,2,64.1,128.2
22447EBE,P890,1,23.71,23.71
22447EBE,P348,3,20.09,60.269999999999996
22447EBE,P206,1,44.01,44.01
A62E665C,P604,3,54.38,163.14000000000001
A62E665C,P542,1,51.63,51.63
A62E665C,P200,2,85.36,170.72
2E55C5A0,P200,2,85.36,170.72
0DF858A9,P720,3,79.36,238.07999999999998
0DF858A9,P439,1,15.45,15.45
0DF858A9,P801,3,84.22,252.66
AE3E8F3D,P400,1,92.91,92.91
AE3E8F3D,P522,3,77.75,233.25
713A159E,P400,1,92.91,92.91
FE6D1398,P596,2,64.1,128.2
219D7914,P200,1,85.36,85.36
219D7914,P596,1,64.1,64.1
219D7914,P816,3,60.63,181.89000000000001
219D7914,P646,3,29.88,89.64
219D7914,P679,3,14.99,44.97
250B14CC,P380,2,4.31,8.62
250B14CC,P604,2,54.38,108.76
250B14CC,P895,2,25.56,51.12
250B14CC,P735,2,74.18,148.36
250B14CC,P646,3,29.88,89.64
FF52FCBF,P155,2,43.27,86.54
FF52FCBF,P631,2,61.79,123.58
FF52FCBF,P522,1,77.75,77.75
FF52FCBF,P656,1,75.85,75.85
963A72FD,P679,3,14.99,44.97
DC4C1EC2,P452,3,68.63,205.89
7E85633C,P118,2,45.51,91.02
7E85633C,P756,3,33.56,100.68
7E85633C,P439,2,15.45,30.9
7E85633C,P977,1,61.63,61.63
DAA603EC,P155,2,43.27,86.54
DAA603EC,P735,1,74.18,74.18
1A9DF1E3,P895,1,25.56,25.56
1781CEF7,P720,2,79.36,158.72
1781CEF7,P646,1,29.88,29.88
1781CEF7,P895,2,25.56,51.12
1781CEF7,P783,2,88.71,177.42
A23C9796,P783,1,88.71,88.71
A23C9796,P118,3,45.51,136.53
A23C9796,P400,3,92.91,278.73
A23C9796,P489,1,95.66,95.66
A23C9796,P452,3,68.63,205.89
B0297CDF,P596,3,64.1,192.29999999999998
B0297CDF,P971,1,1.79,1.79
2A7BC249,P977,1,61.63,61.63
2A7BC249,P783,3,88.71,266.13
EC2D5CF3,P489,1,95.66,95.66
EC2D5CF3,P666,1,23.54,23.54
EC2D5CF3,P542,1,51.63,51.63
DF3AB8CB,P783,2,88.71,177.42
DF3AB8CB,P118,2,45.51,91.02
DF3AB8CB,P302,2,96.08,192.16
DF3AB8CB,P452,2,68.63,137.26
DF3AB8CB,P369,1,15.35,15.35
19356CA3,P631,3,61.79,185.37
19356CA3,P707,2,46.51,93.02
19356CA3,P863,1,74.75,74.75
19356CA3,P452,1,68.63,68.63
19356CA3,P302,2,96.08,192.16
26A470A1,P200,3,85.36,256.08
26A470A1,P977,2,61.63,123.26
26A470A1,P641,3,71.45,214.35000000000002
26A470A1,P155,1,43.27,43.27
A3F4DB02,P542,2,51.63,103.26
A3F4DB02,P118,1,45.51,45.51
A3F4DB02,P804,1,32.67,32.67
A3F4DB02,P977,3,61.63,184.89000000000001
46772053,P462,3,48.42,145.26
46772053,P783,1,88.71,88.71
92F863EB,P452,1,68.63,68.63
62199AA2,P542,2,51.63,103.26
62199AA2,P380,2,4.31,8.62
62199AA2,P452,1,68.63,68.63
62199AA2,P155,2,43.27,86.54
72281ABD,P348,2,20.09,40.18
72281ABD,P804,2,32.67,65.34
72281ABD,P774,3,81.02,243.06
72281ABD,P644,2,81.82,163.64
C4F66DD3,P891,1,73.07,73.07
C4F66DD3,P348,2,20.09,40.18
C4F66DD3,P735,1,74.18,74.18
9E64FB9E,P489,1,95.66,95.66
9E64FB9E,P679,1,14.99,14.99
9E64FB9E,P891,3,73.07,219.20999999999998
17326F1E,P783,2,88.71,177.42
17326F1E,P641,1,71.45,71.45
A647DDFF,P451,2,50.67,101.34
A647DDFF,P807,2,87.2,174.4
A647DDFF,P863,1,74.75,74.75
0BEC1414,P895,2,25.56,51.12
0BEC1414,P400,1,92.91,92.91
3A09F5FD,P977,1,61.63,61.63
3A09F5FD,P707,2,46.51,93.02
7BF063E8,P679,2,14.99,29.98
7BF063E8,P712,2,68.0,136.0
297DA17D,P462,1,48.42,48.42
6B9A501A,P462,2,48.42,96.84
6B9A501A,P206,2,44.01,88.02
6B9A501A,P801,1,84.22,84.22
6B9A501A,P641,2,71.45,142.9
3302A794,P302,1,96.08,96.08
3302A794,P362,2,18.08,36.16
3302A794,P801,2,84.22,168.44
C26B5C97,P875,1,69.62,69.62
C26B5C97,P801,3,84.22,252.66
BD520DD9,P439,3,15.45,46.349999999999994
BD520DD9,P971,2,1.79,3.58
BD520DD9,P745,1,24.76,24.76
0622AEC2,P807,3,87.2,261.6
0622AEC2,P720,3,79.36,238.07999999999998
0622AEC2,P118,1,45.51,45.51
0622AEC2,P542,1,51.63,51.63
0C7FD8E9,P707,2,46.51,93.02
6A1EE1BF,P666,3,23.54,70.62
6A1EE1BF,P206,2,44.01,88.02
6A1EE1BF,P863,1,74.75,74.75
6A1EE1BF,P646,3,29.88,89.64
6A1EE1BF,P380,2,4.31,8.62
42421582,P629,3,63.06,189.18
42421582,P707,2,46.51,93.02
42421582,P302,3,96.08,288.24
7544C37E,P118,2,45.51,91.02
7544C37E,P362,3,18.08,54.239999999999995
CEF6E792,P200,1,85.36,85.36
CEF6E792,P606,3,13.36,40.08
CEF6E792,P462,3,48.42,145.26
CEF6E792,P631,1,61.79,61.79
76A9F2E2,P707,2,46.51,93.02
76A9F2E2,P996,3,48.1,144.3
76A9F2E2,P641,3,71.45,214.35000000000002
76A9F2E2,P439,2,15.45,30.9
ECA4AA8E,P489,2,95.66,191.32
ECA4AA8E,P783,2,88.71,177.42
8861DB63,P891,2,73.07,146.14
8861DB63,P206,3,44.01,132.03
8861DB63,P542,1,51.63,51.63
C77C0128,P707,2,46.51,93.02
C77C0128,P735,1,74.18,74.18
C77C0128,P807,3,87.2,261.6
FA0FB998,P735,2,74.18,148.36
FA0FB998,P200,3,85.36,256.08
FA0FB998,P801,3,84.22,252.66
FA0FB998,P644,1,81.82,81.82
